flow_id,system,chief_complaint,module,rule_key,value_type,value,active
CARDIO_CHEST_PAIN_V1,CARDIO,CHEST_PAIN,CARD_CP,CARDIO_CHEST_PAIN_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
CARDIO_CHEST_PAIN_V1,CARDIO,CHEST_PAIN,CARD_CP,CARDIO_CHEST_PAIN_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
CARDIO_CHEST_PAIN_V1,CARDIO,CHEST_PAIN,CARD_CP,CARDIO_CHEST_PAIN_V1_TEST_PACK,text,ECG_TROPONIN_PACK,Y
CARDIO_PALPITATIONS_V1,CARDIO,PALPITATIONS,CARD_PAL,CARDIO_PALPITATIONS_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
CARDIO_PALPITATIONS_V1,CARDIO,PALPITATIONS,CARD_PAL,CARDIO_PALPITATIONS_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
CARDIO_PALPITATIONS_V1,CARDIO,PALPITATIONS,CARD_PAL,CARDIO_PALPITATIONS_V1_TEST_PACK,text,ECG_BASIC_LABS_PACK,Y
CARDIO_HTN_URGENT_V1,CARDIO,HYPERTENSION,CARD_HTN,CARDIO_HTN_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
CARDIO_HTN_URGENT_V1,CARDIO,HYPERTENSION,CARD_HTN,CARDIO_HTN_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
CARDIO_HTN_URGENT_V1,CARDIO,HYPERTENSION,CARD_HTN,CARDIO_HTN_V1_TEST_PACK,text,BP_REPEAT_NEURO_SCREEN_PACK,Y
