flow_id,system,chief_complaint,module,rule_key,value_type,value,active
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,ID_FEV,ID_FEVER_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,ID_FEV,ID_FEVER_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
ID_FEVER_V1,INFECTIOUS_DISEASE,FEVER,ID_FEV,ID_FEVER_V1_TEST_PACK,text,FLU_COVID_SEPSIS_SCREEN_PACK,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,ID_RF,ID_RASH_FEVER_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,ID_RF,ID_RASH_FEVER_V1_NON_RED_FLAG_DISPOSITION,text,urgent_or_supportive,Y
ID_RASH_FEVER_V1,INFECTIOUS_DISEASE,RASH_FEVER,ID_RF,ID_RASH_FEVER_V1_TEST_PACK,text,ID_RASH_FEVER_PACK,Y
