flow_id,system,chief_complaint,module,rule_key,value_type,value,active
ENV_TICK_LYME_V1,ENVIRONMENTAL,TICK_LYME,ENV_TICK,ENV_TICK_LYME_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_TICK_LYME_V1,ENVIRONMENTAL,TICK_LYME,ENV_TICK,ENV_TICK_LYME_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
ENV_TICK_LYME_V1,ENVIRONMENTAL,TICK_LYME,ENV_TICK,ENV_TICK_LYME_V1_TEST_PACK,text,LYME_TICK_EVAL_PACK,Y
ENV_TICK_LYME_V1,ENVIRONMENTAL,TICK_LYME,ENV_TICK,ENV_TICK_LYME_V1_MED_PACK,text,TICK_BITE_SUPPORTIVE_PACK,Y
ENV_COLD_EXPOSURE_V1,ENVIRONMENTAL,COLD_EXPOSURE,ENV_COLD,ENV_COLD_EXPOSURE_V1_RED_FLAG_DISPOSITION,text,urgent_or_ed,Y
ENV_COLD_EXPOSURE_V1,ENVIRONMENTAL,COLD_EXPOSURE,ENV_COLD,ENV_COLD_EXPOSURE_V1_NON_RED_FLAG_DISPOSITION,text,routine_or_supportive,Y
ENV_COLD_EXPOSURE_V1,ENVIRONMENTAL,COLD_EXPOSURE,ENV_COLD,ENV_COLD_EXPOSURE_V1_MED_PACK,text,COLD_REWARM_PACK,Y
